a0,a1,a2,a3,a4,b0,b1,b2,b3,b4,cin,s0,s1,s2,s3,s4,cout
0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1
0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,0
0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0
0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0
0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0
0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0
0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1
0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0
0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0
0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1
0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1
0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1
0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1
0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1
0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0
0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1
0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1
0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1
0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1
0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1
0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1
0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1
0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1
0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1
0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1
0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,1
0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1
0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1
0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1
0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1
0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1
0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1
0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1
0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1
0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1
0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1
0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1
0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1
0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1
0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0
0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1
0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1
0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1
0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1
0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1
0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1
0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1
0,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1
0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1
0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1
0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1
0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1
0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1
0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1
0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1
0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0
0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,1
0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1
0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1
0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1
0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0
0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0
0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0
0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0
0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0
0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0
0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0
0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1
0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1
0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0
0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,0
0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1
0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1
0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0
0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0
0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1
0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1
0,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0
0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1,0
0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,1
0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1
0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0
0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0
0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1
0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1
0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0
0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1
0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0
0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0
0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1
0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,1
0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,0
0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0
0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0
0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0
0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0
0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1
0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1
0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0
0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1
0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1
0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0
0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0
0,0,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1
0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1
0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0
0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0
0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1
0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0
0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0
0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0
0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1
0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1
0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0
0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1
0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0
0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1
0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0
0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0
0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0
0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0
0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0
0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0
0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0
0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1
0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1
0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1
0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1
0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1
0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1
0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0
0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0
0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1
0,0,1,0,0,0,1,1,1,0,1,0,1,1,0,0,1
0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0
0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0
0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1
0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1
0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0
0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0
0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1
0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1
0,0,1,0,0,1,0,1,0,0,1,1,1,0,1,0,1
0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0
0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0
0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1
0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1
0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0
0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0
0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1
0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1
0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0
0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0
0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1
0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1
0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1
0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0
0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1
0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1
0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1,0
0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0
0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1
0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1
0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0
0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0
0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0
0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0
0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0
0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0
0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0
0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0
0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0
0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0
0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0
0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0
0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0
0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0
0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0
0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0
0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0
0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0
0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0
0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0
0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0
0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0
0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,0
0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0
0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0
0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0
0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0
0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0
0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0
0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0
0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0
0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0
0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0
0,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0
0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0
0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0
0,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0
0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0
0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0
0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0
0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0
0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0
0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0
0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0
0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0
0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1
0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0
0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0
0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0
0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0
0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0
0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0
0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0
0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0
0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0
0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0
0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0
0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0
0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1
0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1
0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1
0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1
0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0
0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1
0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1
0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1
0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1
0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1
0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1
0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1
0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1
0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1
0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1
0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1
0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1
